epoch,train_loss,val_loss,val_macro_f1,val_balanced_accuracy,val_accuracy,learning_rate,seconds
1,0.78241,0.47676,0.571,0.8212,0.776,0.001,25.4
2,0.4432,0.3731,0.6135,0.8644,0.8154,0.001,23.4
3,0.3422,0.35796,0.6945,0.8777,0.8825,0.001,24.2
4,0.29593,0.28992,0.716,0.8977,0.9107,0.001,23.7
5,0.25784,0.26327,0.6412,0.9126,0.8256,0.001,23.0
6,0.23688,0.26478,0.7161,0.9139,0.8935,0.001,22.3
7,0.20241,0.25744,0.8027,0.9111,0.9471,0.001,22.5
8,0.192,0.23044,0.7243,0.9305,0.9095,0.001,22.8
9,0.17219,0.27524,0.7127,0.9055,0.8822,0.001,43.0
10,0.16859,0.23489,0.78,0.9103,0.9475,0.001,47.6
11,0.13984,0.24399,0.7881,0.9198,0.9488,0.001,23.1
12,0.10994,0.21091,0.8045,0.9302,0.9504,0.0005,22.5
13,0.09502,0.19604,0.7622,0.9443,0.9262,0.0005,22.0
14,0.08347,0.22457,0.7961,0.9437,0.9495,0.0005,23.2
15,0.0882,0.23986,0.7798,0.9337,0.9408,0.0005,23.4
16,0.07729,0.22801,0.8299,0.9423,0.9621,0.0005,22.8
17,0.07401,0.23751,0.8144,0.937,0.9362,0.0005,23.4
18,0.07375,0.22607,0.8129,0.9403,0.9539,0.0005,23.1
19,0.06725,0.26066,0.7776,0.9447,0.9406,0.0005,23.8
20,0.07111,0.28536,0.8591,0.9272,0.9676,0.0005,23.8
21,0.06027,0.25586,0.8384,0.9312,0.9601,0.0005,23.7
22,0.07295,0.23788,0.8358,0.9443,0.9616,0.0005,22.2
23,0.05681,0.28813,0.7824,0.9321,0.9169,0.0005,22.3
24,0.0556,0.24116,0.8226,0.9456,0.9595,0.0005,22.5
25,0.03274,0.33104,0.8838,0.932,0.9746,0.00025,23.4
26,0.02939,0.28522,0.822,0.9446,0.9585,0.00025,23.1
27,0.02717,0.36799,0.8881,0.9239,0.9772,0.00025,22.7
28,0.03238,0.30752,0.7947,0.941,0.9496,0.00025,22.4
29,0.02955,0.36297,0.8754,0.9283,0.9705,0.00025,22.5
30,0.02683,0.41842,0.8872,0.9246,0.9763,0.00025,22.8
31,0.02698,0.41913,0.8872,0.9242,0.9772,0.00025,22.1
32,0.0179,0.44705,0.893,0.9256,0.9784,0.000125,22.2
33,0.01672,0.4374,0.8852,0.9279,0.9761,0.000125,23.2
34,0.01562,0.49608,0.9018,0.9245,0.9813,0.000125,23.0
35,0.01459,0.47803,0.8902,0.9238,0.9778,0.000125,22.6
36,0.01621,0.51124,0.9016,0.9231,0.9802,0.000125,22.9
37,0.01468,0.49833,0.9005,0.931,0.9801,0.000125,23.0
38,0.01645,0.51057,0.8957,0.9252,0.9791,0.000125,22.5
39,0.01174,0.56092,0.9061,0.923,0.9818,6.25e-05,22.3
40,0.01091,0.57228,0.8993,0.9183,0.9812,6.25e-05,22.1
41,0.01086,0.53816,0.8981,0.9213,0.9801,6.25e-05,23.1
42,0.01073,0.59661,0.9063,0.9181,0.9825,6.25e-05,22.0
43,0.01061,0.60305,0.9018,0.9177,0.9814,6.25e-05,22.3
44,0.00973,0.60121,0.9063,0.9192,0.9826,6.25e-05,22.1
45,0.00921,0.65568,0.9091,0.9181,0.983,6.25e-05,21.8
46,0.00884,0.63506,0.9082,0.9185,0.9826,6.25e-05,22.5
47,0.00893,0.65867,0.9076,0.9199,0.9822,6.25e-05,22.7
48,0.00899,0.68146,0.9106,0.9155,0.9835,6.25e-05,22.3
49,0.0087,0.65718,0.9078,0.9181,0.9826,6.25e-05,22.8
50,0.00864,0.68242,0.9086,0.9159,0.9829,6.25e-05,22.7
51,0.00773,0.70459,0.9114,0.92,0.9829,6.25e-05,22.5
52,0.00774,0.77816,0.9119,0.9111,0.9835,6.25e-05,22.0
53,0.0095,0.73395,0.9098,0.9144,0.9828,6.25e-05,23.5
54,0.0074,0.70027,0.9101,0.9143,0.9833,6.25e-05,23.4
55,0.00635,0.71635,0.9102,0.9149,0.9836,6.25e-05,23.2
56,0.00659,0.77867,0.9103,0.9112,0.9831,6.25e-05,23.0
57,0.00562,0.73424,0.9109,0.9178,0.9835,3.125e-05,23.8
58,0.00546,0.8168,0.9132,0.9111,0.984,3.125e-05,23.4
59,0.00516,0.75732,0.9119,0.9145,0.9838,3.125e-05,23.5
60,0.0052,0.75954,0.9115,0.9157,0.9838,3.125e-05,22.5
