epoch,train_loss,val_loss,val_macro_f1,val_balanced_accuracy,val_accuracy,learning_rate,seconds
1,0.44915,0.2267,0.624,0.5696,0.9376,0.001,138.0
2,0.16204,0.13673,0.7701,0.7158,0.9648,0.001,172.8
3,0.11563,0.11413,0.8293,0.7684,0.971,0.001,22.5
4,0.09746,0.095,0.8449,0.7908,0.9741,0.001,23.5
5,0.08557,0.08963,0.8643,0.8171,0.976,0.001,23.7
6,0.07927,0.08832,0.8449,0.79,0.9756,0.001,23.8
7,0.07055,0.081,0.8848,0.8492,0.9768,0.001,23.1
8,0.06579,0.07557,0.8829,0.8353,0.9782,0.001,22.9
9,0.06133,0.07752,0.8787,0.8483,0.9774,0.001,23.6
10,0.05906,0.07804,0.8868,0.8599,0.9781,0.001,22.9
11,0.05566,0.0689,0.8989,0.8606,0.9805,0.001,23.5
12,0.05377,0.06568,0.8884,0.8438,0.9813,0.001,23.1
13,0.04892,0.06704,0.8962,0.8772,0.9817,0.001,23.1
14,0.04644,0.06822,0.9009,0.8711,0.982,0.001,22.1
15,0.04318,0.06278,0.9137,0.8808,0.9829,0.001,24.3
16,0.04324,0.06579,0.9048,0.863,0.9835,0.001,23.9
17,0.04361,0.06252,0.9101,0.9003,0.982,0.001,22.8
18,0.03848,0.06243,0.9168,0.8866,0.9833,0.001,22.1
19,0.03862,0.05665,0.9176,0.897,0.9848,0.001,22.0
20,0.0373,0.05742,0.9239,0.8971,0.9859,0.001,22.0
21,0.03316,0.05645,0.9151,0.899,0.9845,0.001,22.7
22,0.03248,0.06277,0.9179,0.9131,0.9837,0.001,22.2
23,0.03261,0.05832,0.9196,0.8968,0.9847,0.001,22.6
24,0.02993,0.06289,0.9193,0.9044,0.9837,0.001,22.8
25,0.02114,0.05771,0.9117,0.9002,0.9849,0.0005,23.4
26,0.01818,0.0581,0.9193,0.914,0.9855,0.0005,23.7
27,0.018,0.07001,0.9101,0.8989,0.9845,0.0005,22.7
28,0.01677,0.06368,0.9172,0.9072,0.9845,0.0005,23.1
