feature,signal_length,duration_s,padding_ratio,n_zeros,amp_min,amp_max,amp_range,amp_mean,amp_std,energy,rms,peak_index,peak_time_s,mean_abs_diff,max_abs_diff,label
signal_length,1.0,1.0,-1.0,-1.0,-0.072,-0.103,-0.046,0.029,-0.5,0.301,-0.025,0.319,0.319,-0.562,0.059,0.068
duration_s,1.0,1.0,-1.0,-1.0,-0.072,-0.103,-0.046,0.029,-0.5,0.301,-0.025,0.319,0.319,-0.562,0.059,0.068
padding_ratio,-1.0,-1.0,1.0,1.0,0.072,0.103,0.046,-0.029,0.5,-0.301,0.025,-0.319,-0.319,0.562,-0.059,-0.068
n_zeros,-1.0,-1.0,1.0,1.0,0.067,0.103,0.049,-0.032,0.5,-0.303,0.023,-0.319,-0.319,0.562,-0.059,-0.068
amp_min,-0.072,-0.072,0.072,0.067,1.0,-0.09,-0.591,0.009,0.11,-0.017,0.019,-0.034,-0.034,-0.002,-0.047,-0.003
amp_max,-0.103,-0.103,0.103,0.103,-0.09,1.0,0.857,-0.004,0.101,-0.013,0.007,0.029,0.029,0.067,-0.011,-0.017
amp_range,-0.046,-0.046,0.046,0.049,-0.591,0.857,1.0,-0.008,0.025,-0.002,-0.004,0.041,0.041,0.055,0.016,-0.012
amp_mean,0.029,0.029,-0.029,-0.032,0.009,-0.004,-0.008,1.0,0.006,0.893,0.99,0.145,0.145,0.066,-0.259,0.268
amp_std,-0.5,-0.5,0.5,0.5,0.11,0.101,0.025,0.006,1.0,-0.018,0.132,-0.118,-0.118,0.247,-0.46,0.141
energy,0.301,0.301,-0.301,-0.303,-0.017,-0.013,-0.002,0.893,-0.018,1.0,0.898,0.211,0.211,-0.106,-0.253,0.241
rms,-0.025,-0.025,0.025,0.023,0.019,0.007,-0.004,0.99,0.132,0.898,1.0,0.13,0.13,0.089,-0.314,0.272
peak_index,0.319,0.319,-0.319,-0.319,-0.034,0.029,0.041,0.145,-0.118,0.211,0.13,1.0,1.0,-0.162,-0.022,0.147
peak_time_s,0.319,0.319,-0.319,-0.319,-0.034,0.029,0.041,0.145,-0.118,0.211,0.13,1.0,1.0,-0.162,-0.022,0.147
mean_abs_diff,-0.562,-0.562,0.562,0.562,-0.002,0.067,0.055,0.066,0.247,-0.106,0.089,-0.162,-0.162,1.0,0.234,-0.166
max_abs_diff,0.059,0.059,-0.059,-0.059,-0.047,-0.011,0.016,-0.259,-0.46,-0.253,-0.314,-0.022,-0.022,0.234,1.0,-0.183
label,0.068,0.068,-0.068,-0.068,-0.003,-0.017,-0.012,0.268,0.141,0.241,0.272,0.147,0.147,-0.166,-0.183,1.0
