source,label_name,feature,n,mean,std,min,q05,q25,q50,q75,q95,max
mitbih,F,signal_length,803,78.4583,13.7667,29.0,67.0,74.0,78.0,81.0,95.0,187.0
mitbih,F,duration_s,803,0.6277,0.1101,0.232,0.536,0.592,0.624,0.648,0.76,1.496
mitbih,F,padding_ratio,803,0.5804,0.0736,0.0,0.4866,0.5668,0.5829,0.6043,0.6417,0.8449
mitbih,F,n_zeros,803,109.3748,13.6785,0.0,92.0,107.0,110.0,114.0,120.0,160.0
mitbih,F,amp_min,803,0.0026,0.0071,0.0,0.0,0.0,0.0,0.0,0.0156,0.1208
mitbih,F,amp_max,803,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mitbih,F,amp_range,803,0.9974,0.0071,0.8792,0.984,1.0,1.0,1.0,1.0,1.0
mitbih,F,amp_mean,803,0.2502,0.0823,0.1024,0.1495,0.2202,0.2427,0.2654,0.3209,0.83
mitbih,F,amp_std,803,0.2062,0.031,0.0953,0.1622,0.187,0.1999,0.2256,0.2637,0.3079
mitbih,F,energy,803,9.0676,8.6008,1.8577,4.1811,6.9225,8.0255,9.0669,12.5203,118.6388
mitbih,F,rms,803,0.3278,0.0736,0.1761,0.2371,0.295,0.3205,0.3483,0.3969,0.8423
mitbih,F,peak_index,803,4.5866,18.045,0.0,0.0,0.0,0.0,1.0,34.0,170.0
mitbih,F,peak_time_s,803,0.0367,0.1444,0.0,0.0,0.0,0.0,0.008,0.272,1.36
mitbih,F,mean_abs_diff,803,0.0408,0.0065,0.0169,0.0321,0.0373,0.0408,0.0443,0.0492,0.1015
mitbih,F,max_abs_diff,803,0.3842,0.0674,0.1837,0.3018,0.3414,0.372,0.4159,0.5064,0.7615
mitbih,N,signal_length,90589,110.7595,27.1741,10.0,73.0,93.0,106.0,127.0,163.0,187.0
mitbih,N,duration_s,90589,0.8861,0.2174,0.08,0.584,0.744,0.848,1.016,1.304,1.496
mitbih,N,padding_ratio,90589,0.4077,0.1453,0.0,0.1283,0.3209,0.4332,0.5027,0.6096,0.9465
mitbih,N,n_zeros,90589,77.3157,27.1468,0.0,25.0,61.0,82.0,95.0,115.0,178.0
mitbih,N,amp_min,90589,0.0005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.2852
mitbih,N,amp_max,90589,1.0,0.0021,0.6258,1.0,1.0,1.0,1.0,1.0,1.0
mitbih,N,amp_range,90589,0.9995,0.0046,0.6258,1.0,1.0,1.0,1.0,1.0,1.0
mitbih,N,amp_mean,90589,0.2722,0.1392,0.0375,0.115,0.1615,0.2446,0.3438,0.5402,0.9041
mitbih,N,amp_std,90589,0.1702,0.0285,0.074,0.1226,0.1509,0.1692,0.1899,0.2146,0.4577
mitbih,N,energy,90589,13.722,13.4576,1.1588,4.2551,6.3827,9.1777,15.7866,37.3659,103.6235
mitbih,N,rms,90589,0.33,0.12,0.108,0.198,0.241,0.3072,0.3786,0.5634,0.9368
mitbih,N,peak_index,90589,43.8011,49.0198,0.0,0.0,0.0,1.0,88.0,126.0,186.0
mitbih,N,peak_time_s,90589,0.3504,0.3922,0.0,0.0,0.0,0.008,0.704,1.008,1.488
mitbih,N,mean_abs_diff,90589,0.0389,0.0103,0.0102,0.0257,0.0319,0.0375,0.0433,0.0579,0.2058
mitbih,N,max_abs_diff,90589,0.4755,0.1331,0.0455,0.2585,0.3766,0.4776,0.5701,0.6925,1.0
mitbih,Q,signal_length,8039,118.3308,9.5894,31.0,107.0,116.0,120.0,123.0,127.0,183.0
mitbih,Q,duration_s,8039,0.9466,0.0767,0.248,0.856,0.928,0.96,0.984,1.016,1.464
mitbih,Q,padding_ratio,8039,0.3672,0.0513,0.0214,0.3209,0.3422,0.3583,0.3797,0.4225,0.8342
mitbih,Q,n_zeros,8039,69.7278,9.5918,5.0,61.0,65.0,68.0,72.0,80.0,156.0
mitbih,Q,amp_min,8039,0.0004,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.1218
mitbih,Q,amp_max,8039,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mitbih,Q,amp_range,8039,0.9996,0.0038,0.8782,1.0,1.0,1.0,1.0,1.0,1.0
mitbih,Q,amp_mean,8039,0.3955,0.1345,0.0996,0.1822,0.2694,0.4168,0.5179,0.5709,0.8836
mitbih,Q,amp_std,8039,0.1839,0.0307,0.0977,0.1365,0.1566,0.186,0.2094,0.2288,0.3218
mitbih,Q,energy,8039,24.8795,13.6603,1.8404,7.2136,11.4798,23.75,37.6675,45.5678,95.6529
mitbih,Q,rms,8039,0.439,0.1288,0.1583,0.2513,0.3135,0.4533,0.5588,0.6132,0.9001
mitbih,Q,peak_index,8039,71.6216,43.7239,0.0,0.0,0.0,97.0,100.0,105.0,118.0
mitbih,Q,peak_time_s,8039,0.573,0.3498,0.0,0.0,0.0,0.776,0.8,0.84,0.944
