label_name,bin_start,n_beats,pct,bin_end
F,25,1,0.125,30
F,30,11,1.37,35
F,35,4,0.498,40
F,40,3,0.374,45
F,45,3,0.374,50
F,50,1,0.125,55
F,55,1,0.125,60
F,60,4,0.498,65
F,65,54,6.725,70
F,70,157,19.552,75
F,75,258,32.13,80
F,80,203,25.28,85
F,85,39,4.857,90
F,90,18,2.242,95
F,95,16,1.993,100
F,100,11,1.37,105
F,105,4,0.498,110
F,110,4,0.498,115
F,115,1,0.125,120
F,150,3,0.374,155
F,155,2,0.249,160
F,160,3,0.374,165
F,175,1,0.125,180
F,185,1,0.125,190
N,10,1,0.001,15
N,15,4,0.004,20
N,20,19,0.021,25
N,25,62,0.068,30
N,30,100,0.11,35
N,35,192,0.212,40
N,40,161,0.178,45
N,45,179,0.198,50
N,50,280,0.309,55
N,55,420,0.464,60
N,60,754,0.832,65
N,65,1246,1.375,70
N,70,1966,2.17,75
N,75,4182,4.616,80
N,80,5263,5.81,85
N,85,3783,4.176,90
N,90,6335,6.993,95
N,95,8281,9.141,100
N,100,9075,10.018,105
N,105,7665,8.461,110
N,110,4999,5.518,115
N,115,4802,5.301,120
N,120,5348,5.904,125
N,125,4468,4.932,130
N,130,3593,3.966,135
N,135,3144,3.471,140
N,140,2954,3.261,145
N,145,2617,2.889,150
N,150,1893,2.09,155
N,155,1363,1.505,160
N,160,1242,1.371,165
N,165,1521,1.679,170
N,170,1299,1.434,175
N,175,608,0.671,180
N,180,292,0.322,185
N,185,478,0.528,190
Q,30,2,0.025,35
Q,35,2,0.025,40
Q,40,4,0.05,45
Q,45,6,0.075,50
Q,50,27,0.336,55
Q,55,34,0.423,60
Q,60,19,0.236,65
Q,65,9,0.112,70
Q,70,9,0.112,75
Q,75,9,0.112,80
Q,80,9,0.112,85
Q,85,15,0.187,90
Q,90,36,0.448,95
Q,95,55,0.684,100
Q,100,81,1.008,105
Q,105,184,2.289,110
Q,110,746,9.28,115
Q,115,2729,33.947,120
Q,120,2789,34.693,125
Q,125,1156,14.38,130
Q,130,106,1.319,135
Q,135,8,0.1,140
Q,140,3,0.037,145
Q,180,1,0.012,185
S,20,4,0.144,25
S,25,3,0.108,30
S,30,4,0.144,35
S,35,7,0.252,40
S,40,4,0.144,45
S,45,12,0.432,50
S,50,111,3.994,55
S,55,163,5.865,60
S,60,46,1.655,65
S,65,66,2.375,70
S,70,95,3.418,75
S,75,53,1.907,80
S,80,28,1.008,85
S,85,33,1.187,90
S,90,59,2.123,95
S,95,75,2.699,100
S,100,209,7.521,105
S,105,661,23.786,110
S,110,118,4.246,115
S,115,31,1.116,120
S,120,48,1.727,125
S,125,78,2.807,130
S,130,137,4.93,135
S,135,121,4.354,140
S,140,81,2.915,145
S,145,47,1.691,150
S,150,40,1.439,155
S,155,27,0.972,160
S,160,13,0.468,165
S,165,24,0.864,170
S,170,13,0.468,175
S,175,16,0.576,180
S,180,17,0.612,185
S,185,335,12.055,190
V,10,1,0.014,15
V,25,2,0.028,30
V,30,4,0.055,35
V,35,13,0.18,40
V,40,38,0.525,45
V,45,81,1.119,50
V,50,88,1.216,55
V,55,106,1.465,60
V,60,97,1.341,65
V,65,118,1.631,70
V,70,134,1.852,75
V,75,247,3.413,80
V,80,268,3.704,85
V,85,266,3.676,90
V,90,343,4.74,95
V,95,318,4.395,100
V,100,484,6.689,105
V,105,598,8.264,110
V,110,512,7.076,115
V,115,506,6.993,120
V,120,408,5.638,125
V,125,281,3.883,130
V,130,219,3.027,135
V,135,234,3.234,140
V,140,208,2.875,145
V,145,161,2.225,150
V,150,156,2.156,155
V,155,172,2.377,160
V,160,158,2.184,165
V,165,196,2.709,170
V,170,192,2.653,175
V,175,177,2.446,180
V,180,159,2.197,185
V,185,291,4.022,190
