feature,importance,rank
s003,0.045161971969003394,1
s002,0.02885776573779489,2
max_abs_diff,0.028087212510319294,3
s004,0.02361987748218948,4
s001,0.022882434024555306,5
s005,0.021168270281820636,6
mean_abs_diff,0.01928444149897763,7
s006,0.017778439377919997,8
s000,0.015427878920016702,9
signal_length,0.01426744848812608,10
s023,0.01328861195147137,11
s088,0.013273604540951498,12
s011,0.012670262294390337,13
s025,0.012567137854116953,14
s008,0.012426461335812232,15
s007,0.012171186759814575,16
s087,0.012032773512790952,17
s009,0.011894513963358657,18
s013,0.011877813007749701,19
s086,0.011820315212273242,20
s010,0.011481815254380053,21
s026,0.01143832146521022,22
s028,0.011438222828580369,23
peak_index,0.011388961469186448,24
s085,0.01110109776659843,25
