epoch,train_loss,val_loss,val_macro_f1,val_balanced_accuracy,val_accuracy,learning_rate,seconds
1,1.53079,0.60863,0.6309,0.6792,0.6523,0.0001,3.4
2,0.50194,0.42918,0.7485,0.7917,0.7723,0.0001,3.2
3,0.37686,0.34383,0.815,0.8492,0.8378,0.0001,3.0
4,0.31088,0.2914,0.8506,0.8829,0.8704,0.0001,3.5
5,0.26453,0.25304,0.8703,0.9025,0.8878,0.0001,3.4
6,0.23109,0.22662,0.8865,0.9118,0.9033,0.0001,3.3
7,0.20703,0.20326,0.8934,0.9217,0.9088,0.0001,3.4
8,0.18681,0.18702,0.9053,0.9261,0.9203,0.0001,3.2
9,0.17054,0.17288,0.9106,0.9307,0.9249,0.0001,3.8
10,0.15562,0.15743,0.9112,0.9321,0.9253,0.0001,3.6
11,0.14197,0.1462,0.9246,0.9441,0.9368,0.0001,3.5
12,0.13067,0.13704,0.9277,0.9465,0.9395,0.0001,3.5
13,0.1197,0.12683,0.9285,0.9493,0.94,0.0001,3.5
14,0.10966,0.11914,0.9312,0.9519,0.9423,0.0001,3.5
15,0.10129,0.11336,0.9441,0.9578,0.9537,0.0001,3.5
16,0.09355,0.10585,0.9482,0.9599,0.9574,0.0001,3.4
17,0.08579,0.0995,0.9481,0.9631,0.9569,0.0001,3.6
18,0.07876,0.0957,0.9537,0.9646,0.962,0.0001,3.6
19,0.07327,0.09072,0.9467,0.9642,0.9556,0.0001,3.4
20,0.0665,0.0843,0.9519,0.9668,0.9601,0.0001,3.5
21,0.06231,0.08067,0.9617,0.9683,0.9689,0.0001,3.2
22,0.05669,0.07755,0.9535,0.9683,0.9615,0.0001,3.4
23,0.05241,0.07262,0.9646,0.9714,0.9711,0.0001,3.4
24,0.04736,0.0691,0.9696,0.9763,0.9753,0.0001,3.6
25,0.04467,0.06868,0.9684,0.9741,0.9743,0.0001,3.6
26,0.04101,0.06524,0.9717,0.9755,0.9771,0.0001,3.4
27,0.03711,0.05954,0.9708,0.9784,0.9762,0.0001,3.5
28,0.03393,0.05777,0.9746,0.9791,0.9794,0.0001,3.5
29,0.0308,0.05517,0.9756,0.9777,0.9803,0.0001,3.3
30,0.02867,0.05422,0.9774,0.9817,0.9817,0.0001,2.9
31,0.02639,0.0537,0.9774,0.9817,0.9817,0.0001,3.6
32,0.02337,0.04932,0.9835,0.9857,0.9867,0.0001,3.5
33,0.02165,0.04828,0.9808,0.9847,0.9844,0.0001,3.6
34,0.0203,0.04665,0.9813,0.985,0.9849,0.0001,3.4
35,0.01811,0.04374,0.9824,0.9861,0.9858,0.0001,3.4
36,0.01685,0.04488,0.9847,0.9874,0.9876,0.0001,3.5
37,0.0153,0.04681,0.9829,0.9829,0.9863,0.0001,3.3
38,0.015,0.04202,0.9847,0.9874,0.9876,0.0001,3.4
39,0.01287,0.04261,0.9847,0.9869,0.9876,0.0001,3.4
40,0.01182,0.04211,0.9841,0.9866,0.9872,0.0001,3.4
41,0.01039,0.04093,0.9841,0.9861,0.9872,5e-05,3.6
42,0.00995,0.04265,0.9829,0.9839,0.9863,5e-05,3.3
43,0.00941,0.04048,0.9841,0.9861,0.9872,5e-05,3.4
44,0.00908,0.04041,0.9841,0.9861,0.9872,5e-05,3.5
