epoch,train_loss,val_loss,val_macro_f1,val_balanced_accuracy,val_accuracy,learning_rate,seconds
1,0.94453,0.50023,0.7489,0.7656,0.7865,0.001,1.7
2,0.43015,0.39786,0.7713,0.814,0.7943,0.001,1.3
3,0.36743,0.35938,0.7957,0.8344,0.8186,0.001,1.2
4,0.33281,0.34536,0.8174,0.8419,0.8433,0.001,1.2
5,0.31494,0.31205,0.8276,0.8709,0.8465,0.001,1.2
6,0.29427,0.29557,0.8371,0.8771,0.8562,0.001,1.3
7,0.26993,0.28577,0.8426,0.8826,0.8612,0.001,1.2
8,0.25661,0.26992,0.8662,0.8928,0.8855,0.001,1.3
9,0.24135,0.26179,0.8567,0.8943,0.8745,0.001,1.3
10,0.23346,0.25538,0.8646,0.8953,0.8832,0.001,1.2
11,0.22462,0.25147,0.8579,0.9004,0.8745,0.001,1.2
12,0.21466,0.23729,0.8734,0.9104,0.8896,0.001,1.0
13,0.20587,0.22642,0.8813,0.9115,0.8978,0.001,1.2
14,0.195,0.22539,0.8945,0.9129,0.9116,0.001,1.2
15,0.19374,0.23282,0.8611,0.906,0.8768,0.001,1.2
16,0.18604,0.20878,0.8883,0.9197,0.9038,0.001,1.3
17,0.17699,0.20375,0.8895,0.9213,0.9047,0.001,1.2
18,0.17876,0.20032,0.9094,0.9264,0.9244,0.001,1.3
19,0.1665,0.20375,0.8889,0.9232,0.9038,0.001,1.3
20,0.1623,0.19833,0.8942,0.9235,0.9093,0.001,1.2
21,0.15534,0.1887,0.9087,0.9337,0.9226,0.001,1.2
22,0.15036,0.19228,0.8949,0.9281,0.9093,0.001,1.2
23,0.14528,0.1827,0.911,0.9333,0.9249,0.0005,1.3
24,0.13996,0.18182,0.9021,0.9286,0.9166,0.0005,1.2
25,0.13767,0.18008,0.9025,0.9284,0.9171,0.0005,1.2
26,0.13764,0.18439,0.899,0.9316,0.913,0.0005,1.1
27,0.13619,0.18035,0.9071,0.9318,0.9212,0.0005,1.2
28,0.13135,0.17696,0.9042,0.9309,0.9185,0.00025,1.2
29,0.13013,0.17606,0.9067,0.9319,0.9208,0.00025,1.0
30,0.12947,0.17467,0.9112,0.9348,0.9249,0.00025,1.2
31,0.12844,0.17668,0.9073,0.9333,0.9212,0.00025,1.2
32,0.1278,0.17433,0.9112,0.9348,0.9249,0.00025,1.3
33,0.12691,0.17507,0.9141,0.9357,0.9276,0.00025,1.3
34,0.12573,0.17304,0.9095,0.9356,0.923,0.00025,1.3
35,0.12585,0.17224,0.9141,0.9357,0.9276,0.00025,1.3
36,0.1234,0.17038,0.9189,0.9368,0.9322,0.00025,1.2
37,0.12407,0.17151,0.9093,0.9345,0.923,0.00025,1.2
38,0.1239,0.16821,0.9177,0.9384,0.9308,0.00025,1.2
39,0.12174,0.16785,0.917,0.9371,0.9304,0.00025,1.3
40,0.12228,0.16796,0.9152,0.9368,0.9285,0.00025,1.2
41,0.11909,0.16714,0.9219,0.9387,0.935,0.000125,1.4
42,0.11884,0.1682,0.9145,0.9387,0.9276,0.000125,1.2
43,0.11836,0.16689,0.9195,0.9382,0.9327,0.000125,1.2
44,0.11756,0.16753,0.9127,0.9358,0.9262,0.000125,1.2
45,0.11715,0.16636,0.9197,0.9397,0.9327,0.000125,1.3
46,0.11617,0.1662,0.9178,0.9389,0.9308,6.25e-05,1.2
47,0.11599,0.1659,0.9181,0.9377,0.9313,6.25e-05,1.3
48,0.11627,0.16599,0.9188,0.9396,0.9317,6.25e-05,1.2
49,0.11554,0.16591,0.9173,0.9386,0.9304,6.25e-05,1.2
