epoch,train_loss,val_loss,val_macro_f1,val_balanced_accuracy,val_accuracy,learning_rate,seconds
1,0.61344,0.51751,0.7205,0.7556,0.7494,0.001,4.2
2,0.46167,0.41342,0.7824,0.8121,0.8099,0.001,3.3
3,0.36955,0.34472,0.8284,0.8531,0.853,0.001,3.3
4,0.31508,0.28097,0.8654,0.8949,0.8841,0.001,3.3
5,0.25567,0.24007,0.8841,0.9129,0.9006,0.001,3.3
6,0.2133,0.20284,0.8994,0.9233,0.9148,0.001,3.4
7,0.18549,0.16518,0.9232,0.9377,0.9363,0.001,3.4
8,0.16713,0.14215,0.9526,0.9576,0.9615,0.001,3.3
9,0.13836,0.16069,0.9443,0.9371,0.956,0.001,3.2
10,0.1327,0.12423,0.9326,0.9556,0.9432,0.001,3.0
11,0.10799,0.10378,0.9501,0.9581,0.9592,0.001,3.2
12,0.1187,0.09857,0.9594,0.9577,0.9675,0.001,3.3
13,0.10338,0.11737,0.931,0.9584,0.9414,0.001,3.3
14,0.10979,0.08677,0.9716,0.9745,0.9771,0.001,3.6
15,0.06584,0.0722,0.9708,0.9779,0.9762,0.001,3.3
16,0.07406,0.07007,0.9751,0.9795,0.9798,0.001,3.4
17,0.06455,0.06843,0.9783,0.9773,0.9826,0.001,3.4
18,0.05358,0.05497,0.9781,0.9856,0.9821,0.001,3.2
19,0.04536,0.07314,0.9701,0.9751,0.9757,0.001,3.3
20,0.05397,0.04688,0.9809,0.9877,0.9844,0.001,3.4
21,0.03378,0.06944,0.9756,0.9783,0.9803,0.001,3.5
22,0.03862,0.06749,0.9745,0.9776,0.9794,0.001,3.4
23,0.04196,0.04673,0.9808,0.9867,0.9844,0.001,3.4
24,0.03493,0.08163,0.9622,0.9744,0.9689,0.001,3.3
25,0.022,0.04222,0.9875,0.988,0.9899,0.0005,3.3
26,0.01414,0.04568,0.9875,0.9885,0.9899,0.0005,3.2
27,0.01312,0.04492,0.9886,0.9891,0.9908,0.0005,3.5
28,0.01217,0.0473,0.983,0.9869,0.9863,0.0005,3.3
29,0.011,0.04307,0.9875,0.9905,0.9899,0.0005,3.4
30,0.01181,0.04382,0.9903,0.9911,0.9922,0.0005,3.5
31,0.00934,0.0508,0.9858,0.9865,0.9885,0.0005,3.5
32,0.01096,0.06215,0.9846,0.9843,0.9876,0.0005,3.5
33,0.01403,0.04315,0.9858,0.9895,0.9885,0.0005,3.4
34,0.00793,0.0479,0.9892,0.9894,0.9913,0.0005,3.7
35,0.00489,0.04749,0.9897,0.9892,0.9918,0.00025,3.4
36,0.00415,0.04919,0.9886,0.9886,0.9908,0.00025,3.3
37,0.00415,0.04953,0.9897,0.9887,0.9918,0.00025,3.2
38,0.00356,0.04677,0.9903,0.9911,0.9922,0.00025,3.3
