feature,signal_length,duration_s,padding_ratio,n_zeros,amp_min,amp_max,amp_range,amp_mean,amp_std,energy,rms,peak_index,peak_time_s,mean_abs_diff,max_abs_diff,label
signal_length,1.0,1.0,-1.0,-1.0,-0.057,,0.057,-0.325,-0.448,-0.061,-0.367,0.23,0.23,-0.559,-0.028,-0.319
duration_s,1.0,1.0,-1.0,-1.0,-0.057,,0.057,-0.325,-0.448,-0.061,-0.367,0.23,0.23,-0.559,-0.028,-0.319
padding_ratio,-1.0,-1.0,1.0,1.0,0.057,,-0.057,0.325,0.448,0.061,0.367,-0.23,-0.23,0.559,0.028,0.319
n_zeros,-1.0,-1.0,1.0,1.0,0.055,,-0.055,0.324,0.448,0.06,0.367,-0.23,-0.23,0.56,0.029,0.319
amp_min,-0.057,-0.057,0.057,0.055,1.0,,-1.0,0.052,0.031,0.037,0.057,-0.02,-0.02,0.014,-0.063,0.028
amp_max,,,,,,1.0,,,,,,,,,,
amp_range,0.057,0.057,-0.057,-0.055,-1.0,,1.0,-0.052,-0.031,-0.037,-0.057,0.02,0.02,-0.014,0.063,-0.028
amp_mean,-0.325,-0.325,0.325,0.324,0.052,,-0.052,1.0,-0.05,0.921,0.993,-0.105,-0.105,0.358,0.142,0.231
amp_std,-0.448,-0.448,0.448,0.448,0.031,,-0.031,-0.05,1.0,-0.091,0.057,-0.071,-0.071,0.321,-0.226,0.166
energy,-0.061,-0.061,0.061,0.06,0.037,,-0.037,0.921,-0.091,1.0,0.921,-0.041,-0.041,0.205,0.13,0.186
rms,-0.367,-0.367,0.367,0.367,0.057,,-0.057,0.993,0.057,0.921,1.0,-0.11,-0.11,0.379,0.12,0.252
peak_index,0.23,0.23,-0.23,-0.23,-0.02,,0.02,-0.105,-0.071,-0.041,-0.11,1.0,1.0,-0.105,0.025,-0.104
peak_time_s,0.23,0.23,-0.23,-0.23,-0.02,,0.02,-0.105,-0.071,-0.041,-0.11,1.0,1.0,-0.105,0.025,-0.104
mean_abs_diff,-0.559,-0.559,0.559,0.56,0.014,,-0.014,0.358,0.321,0.205,0.379,-0.105,-0.105,1.0,0.244,0.351
max_abs_diff,-0.028,-0.028,0.028,0.029,-0.063,,0.063,0.142,-0.226,0.13,0.12,0.025,0.025,0.244,1.0,-0.056
label,-0.319,-0.319,0.319,0.319,0.028,,-0.028,0.231,0.166,0.186,0.252,-0.104,-0.104,0.351,-0.056,1.0
