source,label_name,feature,n,mean,std,min,q05,q25,q50,q75,q95,max
ptbdb,abnormal,signal_length,10506,112.6496,24.7711,51.0,70.0,97.0,110.0,128.0,156.0,186.0
ptbdb,abnormal,duration_s,10506,0.9012,0.1982,0.408,0.56,0.776,0.88,1.024,1.248,1.488
ptbdb,abnormal,padding_ratio,10506,0.3976,0.1325,0.0053,0.1658,0.3155,0.4064,0.4759,0.6257,0.7273
ptbdb,abnormal,n_zeros,10506,75.3488,24.7604,2.0,32.0,60.0,78.0,90.0,118.0,137.0
ptbdb,abnormal,amp_min,10506,0.0004,0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.33
ptbdb,abnormal,amp_max,10506,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ptbdb,abnormal,amp_range,10506,0.9996,0.0073,0.67,1.0,1.0,1.0,1.0,1.0,1.0
ptbdb,abnormal,amp_mean,10506,0.309,0.1651,0.067,0.1198,0.1782,0.2603,0.4032,0.655,0.8449
ptbdb,abnormal,amp_std,10506,0.1591,0.0287,0.0746,0.1212,0.1405,0.1551,0.1721,0.2113,0.3568
ptbdb,abnormal,energy,10506,15.7538,13.0892,2.4198,4.6696,6.5144,10.7752,19.7341,45.1921,107.0193
ptbdb,abnormal,rms,10506,0.3566,0.1474,0.1311,0.2,0.2411,0.3083,0.4313,0.6756,0.8567
ptbdb,abnormal,peak_index,10506,37.7537,48.1994,0.0,0.0,0.0,0.0,87.0,118.0,168.0
ptbdb,abnormal,peak_time_s,10506,0.302,0.3856,0.0,0.0,0.0,0.0,0.696,0.944,1.344
ptbdb,abnormal,mean_abs_diff,10506,0.043,0.0126,0.0119,0.0271,0.0348,0.0413,0.0485,0.0644,0.1525
ptbdb,abnormal,max_abs_diff,10506,0.497,0.1259,0.1014,0.3073,0.4179,0.4909,0.5684,0.7084,1.0
ptbdb,normal,signal_length,4046,130.438,20.653,62.0,93.0,117.0,130.0,145.0,163.0,186.0
ptbdb,normal,duration_s,4046,1.0435,0.1652,0.496,0.744,0.936,1.04,1.16,1.304,1.488
ptbdb,normal,padding_ratio,4046,0.3025,0.1104,0.0053,0.1283,0.2246,0.3048,0.3743,0.5027,0.6684
ptbdb,normal,n_zeros,4046,57.5665,20.651,2.0,25.0,43.0,58.0,71.0,95.0,126.0
ptbdb,normal,amp_min,4046,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0691
ptbdb,normal,amp_max,4046,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ptbdb,normal,amp_range,4046,1.0,0.0013,0.9309,1.0,1.0,1.0,1.0,1.0,1.0
ptbdb,normal,amp_mean,4046,0.2302,0.0944,0.0579,0.1103,0.1583,0.2098,0.2796,0.4263,0.5599
ptbdb,normal,amp_std,4046,0.1493,0.017,0.0959,0.1246,0.1371,0.1482,0.1595,0.1818,0.2389
ptbdb,normal,energy,4046,10.8199,6.7855,1.9031,4.9178,6.3685,8.6404,11.8691,26.3478,45.1187
ptbdb,normal,rms,4046,0.2797,0.079,0.1219,0.1837,0.2247,0.2598,0.3126,0.4499,0.5824
ptbdb,normal,peak_index,4046,49.498,55.8078,0.0,0.0,0.0,0.0,106.0,132.0,167.0
ptbdb,normal,peak_time_s,4046,0.396,0.4465,0.0,0.0,0.0,0.0,0.848,1.056,1.336
ptbdb,normal,mean_abs_diff,4046,0.0335,0.0072,0.0114,0.0248,0.0287,0.0322,0.0367,0.0467,0.099
ptbdb,normal,max_abs_diff,4046,0.5116,0.0894,0.1089,0.3886,0.4422,0.5024,0.5677,0.6723,0.8582
