feature,importance,rank
mean_abs_diff,0.1701173579214583,1
s004,0.0778929836480216,2
s028,0.04778637865212869,3
s032,0.04316146247737004,4
amp_std,0.036674991631703936,5
s003,0.03433345804687574,6
s033,0.030044004421187938,7
max_abs_diff,0.028594059921210908,8
s029,0.028534933324134627,9
s002,0.022944753146547817,10
s034,0.022190621496071206,11
s035,0.021884617291812958,12
s041,0.02040384068989961,13
s048,0.019845937100380854,14
s001,0.018816499176283027,15
s046,0.017896170794887808,16
s036,0.015700681735830724,17
signal_length,0.013944326463700042,18
s039,0.011628970857857208,19
amp_mean,0.010582434289864287,20
s045,0.010524573928591092,21
s005,0.010451056438370125,22
s038,0.010118233219505408,23
s022,0.009899273104433115,24
s031,0.009519586281647575,25
