label_name,bin_start,n_beats,pct,bin_end
abnormal,50,4,0.038,55
abnormal,55,176,1.675,60
abnormal,60,200,1.904,65
abnormal,65,121,1.152,70
abnormal,70,135,1.285,75
abnormal,75,202,1.923,80
abnormal,80,364,3.465,85
abnormal,85,463,4.407,90
abnormal,90,546,5.197,95
abnormal,95,895,8.519,100
abnormal,100,932,8.871,105
abnormal,105,1032,9.823,110
abnormal,110,709,6.749,115
abnormal,115,672,6.396,120
abnormal,120,1045,9.947,125
abnormal,125,553,5.264,130
abnormal,130,470,4.474,135
abnormal,135,503,4.788,140
abnormal,140,378,3.598,145
abnormal,145,276,2.627,150
abnormal,150,268,2.551,155
abnormal,155,141,1.342,160
abnormal,160,122,1.161,165
abnormal,165,86,0.819,170
abnormal,170,131,1.247,175
abnormal,175,42,0.4,180
abnormal,180,35,0.333,185
abnormal,185,5,0.048,190
normal,60,4,0.099,65
normal,70,5,0.124,75
normal,80,10,0.247,85
normal,85,76,1.878,90
normal,90,160,3.955,95
normal,95,86,2.126,100
normal,100,124,3.065,105
normal,105,116,2.867,110
normal,110,210,5.19,115
normal,115,371,9.17,120
normal,120,444,10.974,125
normal,125,369,9.12,130
normal,130,378,9.343,135
normal,135,369,9.12,140
normal,140,274,6.772,145
normal,145,258,6.377,150
normal,150,298,7.365,155
normal,155,191,4.721,160
normal,160,135,3.337,165
normal,165,58,1.434,170
normal,170,37,0.914,175
normal,175,39,0.964,180
normal,180,25,0.618,185
normal,185,9,0.222,190
