fraction,n_train,arm,macro_f1,balanced_accuracy,roc_auc,epochs
0.02,204,scratch,0.7944,0.8121,0.906,40
0.02,204,frozen,0.7934,0.8133,0.8932,40
0.02,204,finetune,0.8029,0.8043,0.8965,40
0.05,510,scratch,0.7571,0.7809,0.8655,23
0.05,510,frozen,0.8222,0.8485,0.9288,40
0.05,510,finetune,0.8993,0.9146,0.9615,40
0.1,1018,scratch,0.9252,0.925,0.9792,40
0.1,1018,frozen,0.8676,0.8774,0.9521,40
0.1,1018,finetune,0.9248,0.9284,0.9829,40
0.25,2546,scratch,0.9721,0.9728,0.9932,40
0.25,2546,frozen,0.8961,0.9144,0.9695,40
0.25,2546,finetune,0.9599,0.9575,0.9913,40
0.5,5093,scratch,0.9897,0.9902,0.9995,40
0.5,5093,frozen,0.9424,0.9469,0.9862,40
0.5,5093,finetune,0.9766,0.9769,0.9976,35
1.0,10186,scratch,0.9915,0.9927,0.9996,30
1.0,10186,frozen,0.9323,0.9414,0.9859,32
1.0,10186,finetune,0.9875,0.989,0.9991,40
