feature,importance,rank
mean_abs_diff,0.07227428405654819,1
s004,0.05383038113990087,2
s033,0.04055436193966967,3
s003,0.03344009242074923,4
s032,0.02922346958860911,5
s031,0.02821568524582986,6
s030,0.026886914039489975,7
s034,0.024898022828727048,8
s029,0.02415206407406901,9
s028,0.019722255943631473,10
s005,0.019414383532092135,11
s035,0.018623054600847944,12
s113,0.018194576042650464,13
s109,0.01601545233251942,14
s027,0.014419395944581187,15
s110,0.014281387302282062,16
s116,0.013575470183107917,17
s026,0.013330141928267366,18
signal_length,0.013319285228222271,19
s036,0.011543670759024634,20
s002,0.011339791424461966,21
max_abs_diff,0.00991205296461744,22
s112,0.009092590441812654,23
s115,0.00906558698554518,24
s050,0.009061522235918992,25
